Country,Unemployment,GDPgrowth,figure,CountryName,Reason
24_United_States_Boston,-20,12.5,a,美国波士顿,落选
26_Italy_Milan-Cortina_d'Ampezzo,5,13.5,,意大利米兰-科尔蒂纳丹佩佐,入围
26_Sweden_Stockholm-?re,10,13.5,,瑞典斯德哥尔摩,成功申办
26_Canada_Calgary,-5,13.5,b,加拿大卡尔加里,落选
26_Turkey_Erzurum,-20,13.5,a,土耳其埃尔祖鲁姆,落选
26_Japan_Sapporo,-25,13.5,a,日本札幌,落选
26_Austria_Graz,-10,13.5,b,奥地利格拉茨,落选
26_Switzerland_Sion,-15,13.5,b,瑞士锡永,落选
28_Los_Angeles,5,14.5,,美国洛杉矶,成功申办
legend2,-40,4,b,,落选
legend3,-40,7.6,a,,落选
